 1-732.8013313635754 2-501.72378353506133 3-838.8867898624263 4-464.08867962366605 MY-541.3009775094143 G:_-322.7877021142517 loss-44191.54296875
 1-691.6655624090541 2-802.5799669210675 3-803.8761575187095 4-679.8713930332597 MY-608.6751283527157 G:_-1671.1962646805441 loss-2360433.0
 1-653.9662665987064 2-491.9914407381899 3-965.7463534822166 4-551.2179381327702 MY-540.395076535632 G:_-851.5963642025579 loss-599206.9375
 1-665.8605170477487 2-511.79733437619643 3-804.3074107767594 4-516.4153045418418 MY-774.3773954778488 G:_--162.5800611016524 loss-116925.9375
 1-943.9766092339161 2-544.2640276855266 3-761.3370572126374 4-497.369352463565 MY-634.2745278954884 G:_-263.0948245680766 loss-34464.40625
 1-687.0874738216036 2-506.1336700666939 3-839.8310778733719 4-495.34019705710796 MY-510.83821087285094 G:_-384.501986184257 loss-62819.02734375
 1-677.7944391745175 2-451.65965596752983 3-779.0517906283853 4-531.3705585513451 MY-792.0877889928554 G:_--340.42813302532556 loss-178159.59375
 1-598.8532387626514 2-572.13728885003 3-885.8182708017852 4-538.808252444034 MY-631.006881877177 G:_-7.801370566857031 loss-24641.314453125
 1-562.7416843081874 2-600.9340223127634 3-899.4967555715345 4-516.4428761778348 MY-482.33222841706646 G:_-1634.1106477607684 loss-2726501.75
 1-812.787864304907 2-507.08951687012564 3-652.6056932310098 4-562.3908131973795 MY-654.6777984212615 G:_--47.58828155113588 loss-23288.9921875
 1-500.0530807899412 2-458.8910232597808 3-936.2760948640008 4-475.2366625541429 MY-921.8788862177687 G:_--362.9878629579879 loss-160378.53125
 1-780.1812648276892 2-603.2863486617691 3-934.314932020475 4-442.82851895650134 MY-623.5895804148032 G:_-219.23893854169813 loss-41789.03515625
 1-813.4108920104615 2-486.81892923923067 3-811.8803508712232 4-460.5248608577277 MY-511.4427382854872 G:_-349.08212257224045 loss-74365.5390625
 1-655.4421065915699 2-499.5338888258995 3-847.273085032472 4-434.83541080869315 MY-916.6075079439438 G:_--481.77209713525065 loss-393709.90625
 1-686.0558425307336 2-461.89151916009587 3-757.6290792161092 4-536.1792936141914 MY-496.1440337550939 G:_-865.747485405002 loss-678048.9375
