 1-729.4827849245538 2-567.1772323256033 3-930.5141903862594 4-686.2265460202105 MY-906.0673926567093 G:_--238.89016033110602 loss-413320.875
 1-868.8681068038205 2-694.113182661612 3-885.4529117730917 4-546.350760422754 MY-604.2853322126384 G:_-842.0654282101156 loss-125803.1171875
 1-861.7050538631079 2-571.8435161519286 3-909.6290334368126 4-524.5122306667444 MY-696.9161531381662 G:_-227.59607752857812 loss-21320.32421875
 1-675.8355730770795 2-521.2406880513804 3-998.1546369475792 4-492.69720172696185 MY-944.3753749172961 G:_--351.67817319033423 loss-548623.9375
 1-809.9613176080131 2-611.8197381830688 3-947.7207356230283 4-603.9184742894194 MY-607.0239642109719 G:_-896.8945100784474 loss-315402.5
 1-637.5720078250005 2-543.8260140130394 3-832.5018692462154 4-617.9813741835051 MY-631.8756997710941 G:_-311.9503142419453 loss-12824.544921875
 1-606.382772536478 2-587.2298829751743 3-860.3156237383639 4-671.8469486064082 MY-663.3228661117423 G:_-323.907016863432 loss-25308.71484375
 1-637.5432341441916 2-649.1621259400846 3-778.132213605187 4-495.8312661820329 MY-578.5918232050054 G:_-817.2394429770275 loss-233882.0
 1-782.0238027471792 2-562.7715787702809 3-925.7679955862471 4-619.4878711615086 MY-674.7989967941367 G:_-287.9725819761443 loss-21598.634765625
 1-632.4670050654694 2-636.2728999668954 3-919.3818366080812 4-641.0434697535229 MY-674.1852334037859 G:_-58.28177166168348 loss-63915.91796875
 1-792.5779442131388 2-575.6826437534265 3-873.526267189791 4-530.9447325795784 MY-1014.9115510373719 G:_--483.96681845779347 loss-796057.125
 1-691.2469886319111 2-601.2610868675774 3-938.4320315359848 4-589.7460601317398 MY-692.2859375847463 G:_--2.539877453006511 loss-195262.0
 1-623.1362242383217 2-502.2045875951775 3-806.3875010256647 4-638.7290076076976 MY-868.2049511342794 G:_--366.00036353910195 loss-655550.4375
 1-686.8867250343138 2-554.7709036034786 3-927.7456056090084 4-579.5318698694657 MY-649.6143482905803 G:_-305.15655531289826 loss-50736.95703125
 1-864.7112001241991 2-522.1697294557349 3-805.6026775163007 4-625.2888939574625 MY-754.3734107877739 G:_-167.79631866796103 loss-49594.5546875
 1-603.8385150733 2-483.00889654729747 3-814.8198381955154 4-601.9715678314049 MY-699.2881643089679 G:_--116.27926776167044 loss-190071.0
 1-940.7975821608682 2-564.9159824854785 3-962.3987873209386 4-554.5285615470377 MY-548.7782901411055 G:_-1605.7502714059324 loss-1799398.875
